ID	start	end	transcription
TP-S9-B-0	3.64	4.83	えー
TP-S9-D-0	4.11	4.48	ちょ
TP-S9-C-0	9.029	9.439	うーん
TP-S9-B-1	9.979	11.659	一泊二日短いですね
TP-S9-A-0	11.159	11.689	おつ
TP-S9-C-1	12.0	12.589	うーん
TP-S9-B-2	18.07	19.57	観光名所が
TP-S9-B-3	20.13	22.44	近くに集中している場所
TP-S9-C-2	26.26	28.25	どこなんだろ 東京か
TP-S9-B-4	29.05	29.74	とー
TP-S9-C-3	29.079	30.289	京都か みたいな
TP-S9-B-5	30.874	32.503	京都だと
TP-S9-B-6	32.659	35.349	付近に奈良とか大阪とかあってー
TP-S9-C-4	35.039	35.759	うーん
TP-S9-B-7	37.494	39.554	東京だと東京の中だけで
TP-S9-B-8	40.059	42.329	完結してしまうってのが
TP-S9-C-5	44.719	45.24	うーん
TP-S9-B-9	45.02	46.74	けど狭い
TP-S9-B-10	47.464	49.954	あそこ密度がすごいですからね
TP-S9-A-1	50.339	57.159	でも なんか自分達が案内するってなると自分達が知ってるところの方がいいんじゃないですか 東京 一応東京
TP-S9-A-2	58.079	60.379	とかの方がいいんじゃないですかねえ
TP-S9-C-6	60.21	60.8	確かに
TP-S9-C-7	61.38	62.939	僕も東京しかわからないです
TP-S9-B-11	62.46	63.05	（何も言っていない）あとー
TP-S9-D-2	63.389	64.029	うーん
TP-S9-B-12	69.099	73.359	とりあえず秋葉原に友人を連れて行ったら染まってしまうのでやめた方がいいと
TP-S9-C-8	75.579	76.81	とりあえず東京でいいんですかね
TP-S9-C-9	77.73	78.209	東京
TP-S9-B-13	77.81	78.86	スカイツリーとか
TP-S9-C-10	79.17	80.77	ね ありますもんね うん
TP-S9-D-3	80.024	81.53	うんうんうんうん
TP-S9-B-14	81.924	84.46	スカイツリーのほかになんかありますっけ
TP-S9-D-4	82.625	83.405	スカイツリー
TP-S9-C-11	84.84	86.6	スカイツリーとか
TP-S9-D-5	85.105	86.445	うーん
TP-S9-A-3	85.839	89.689	スカイツリー浅草とか近いです
TP-S9-B-15	88.12	89.05	あー
TP-S9-C-12	88.12	88.959	あ
TP-S9-D-6	88.29	89.849	うんうん 浅草
TP-S9-A-4	90.114	92.254	日本ぽいところがいいんじゃないですか
TP-S9-C-13	95.0	96.609	ま 候補どんどんあげてけばいいですよね
TP-S9-C-14	97.079	98.629	ま 秋葉原も一応出たし
TP-S9-C-15	106.37	107.87	都心の方ですよね 全部ね
TP-S9-D-7	108.385	110.195	うんうん
TP-S9-B-16	112.739	113.399	渋谷とか
TP-S9-C-16	114.459	114.98	うん
TP-S9-D-8	115.584	116.294	渋谷
TP-S9-B-17	117.294	118.88	渋谷どう書くんでしたっけ
TP-S9-D-9	119.784	120.104	ん
TP-S9-A-5	121.864	123.744	さんずいに止めるに
TP-S9-A-6	124.755	125.905	ちょんちょんです
TP-S9-B-18	124.845	125.705	あ わかりました
TP-S9-B-19	126.35	127.11	ありがとございます
TP-S9-B-20	137.11	138.88	一泊二日となると
TP-S9-C-17	137.259	137.539	ま
TP-S9-C-18	138.949	139.669	こん中の
TP-S9-C-19	140.039	140.55	二つ
TP-S9-C-20	140.949	144.74	頑張って3つですよね あもっと もっと出した方がいいか なんかありますかね
TP-S9-A-7	144.564	149.044	上野とか 上野とか
TP-S9-D-10	145.454	146.174	うーん
TP-S9-C-21	145.84	148.3	ん 上野 あー
TP-S9-B-21	146.74	148.719	上野 あー
TP-S9-D-11	146.99	148.969	あー んー
TP-S9-C-22	152.28	154.689	上野だと動物園ですか どっち行くんだ
TP-S9-A-8	154.115	154.905	とか
TP-S9-C-23	155.509	156.039	美術
TP-S9-B-22	155.935	157.145	高尾ー
TP-S9-A-9	156.27	158.539	美術館とかもありますけど でも
TP-S9-D-12	156.369	158.519	博物館でも うん
TP-S9-A-10	159.18	159.759	日本
TP-S9-A-11	160.379	164.319	を案内するってなるとちょっと んーってなりますけど
TP-S9-D-13	163.28	163.879	うーん
TP-S9-C-24	169.97	172.33	あ でも選択肢いっぱいあるのはいいですよね 行ってみて
TP-S9-D-14	172.054	173.044	うんうん
TP-S9-C-25	173.03	174.439	面白そうなところに行けばいい
TP-S9-A-12	185.334	186.814	六本木とかですか
TP-S9-C-26	186.62	187.289	あー
TP-S9-B-23	188.374	189.394	六本木
TP-S9-C-27	189.639	189.889	はん
TP-S9-C-28	190.15	193.819	全然行ったことないけど 都会って感じですか
TP-S9-B-24	190.239	191.449	なんか
TP-S9-B-25	192.879	194.49	六本木ヒルズ
TP-S9-A-13	193.15	194.039	漢字ですか
TP-S9-A-14	195.12	196.009	六本木ヒルズは
TP-S9-A-15	197.06	198.24	まー楽しいね
TP-S9-C-29	198.56	199.43	あ そうなんですね
TP-S9-B-26	199.419	200.43	なるほど
TP-S9-A-16	201.395	203.715	原宿とかも日本ぽいですかね
TP-S9-C-30	202.86	203.69	あー
TP-S9-C-31	204.75	205.83	すごい いっぱい出てくる
TP-S9-B-27	210.85	212.45	新宿とか あと
TP-S9-C-32	212.939	213.509	んー
TP-S9-B-28	215.224	216.73	あの いいとものアルタ前とか
TP-S9-D-17	215.749	216.539	うん
TP-S9-B-29	218.78	219.98	あそこ新宿でしたっけ
TP-S9-A-17	220.779	221.539	そうですね
TP-S9-D-18	221.499	222.209	うんうん
TP-S9-D-19	224.169	224.979	うーん
TP-S9-A-18	224.285	226.915	すかいつりーと浅草は近いんで一緒にいけます
TP-S9-C-33	227.52	228.25	あー
TP-S9-A-19	228.059	232.549	で渋谷と原宿もいけますね 近い
TP-S9-D-20	228.959	232.8	うん 原宿もやま 近いね
TP-S9-D-21	235.744	236.844	上野も
TP-S9-A-20	238.049	238.859	アキバ
TP-S9-D-22	238.389	238.59	うん
TP-S9-A-21	239.83	243.76	渋谷 上の 原宿は一本でいけますね
TP-S9-D-23	241.62	243.4	うんうん いけるいける
TP-S9-C-34	243.86	244.539	へー
TP-S9-D-24	244.59	245.219	うーん
TP-S9-C-35	245.789	246.189	そうなんだ
TP-S9-B-30	246.104	247.194	山手線一本で
TP-S9-A-22	247.18	248.05	そうですね
TP-S9-D-25	247.769	248.189	うん
TP-S9-B-31	249.51	251.25	東京駅って逆に何もないですよね
TP-S9-A-23	251.269	252.869	あーでも東京駅
TP-S9-B-32	252.824	253.904	東京駅どこでしたっけ
TP-S9-A-24	253.874	255.134	いいと思います
TP-S9-B-33	258.6	260.62	日本人が迷う場所ですからね あそこ
TP-S9-D-26	278.99	280.04	うーん
TP-S9-C-36	288.23	290.689	夏っていうのもありますけどね んー
TP-S9-B-34	296.54	299.029	これ夏の暑さすごい大変じゃないですか
TP-S9-A-25	300.169	302.419	んー東京
TP-S9-C-37	300.18	300.85	んー{LAUGH}
TP-S9-D-27	300.209	301.089	うーん
TP-S9-D-28	301.41	302.209	東京
TP-S9-B-35	306.464	307.104	んー
TP-S9-D-29	319.939	320.849	んー
TP-S9-C-38	324.36	326.439	ただスカイツリーと浅草だと
TP-S9-C-39	326.68	329.009	も観光って感じですよね うーん
TP-S9-B-36	328.259	328.579	かん
TP-S9-D-30	328.85	329.379	うんうん
TP-S9-C-40	330.43	331.8	渋谷とか原宿だとなん
TP-S9-C-41	332.579	333.189	なんですかね
TP-S9-B-37	332.629	333.379	買い物
TP-S9-C-42	334.08	336.48	ショッピング ファッションみたいな感じなんですかね
TP-S9-D-31	336.499	337.179	うんうん
TP-S9-C-43	339.89	341.98	なんだっけ一本で行けるのは 秋葉原
TP-S9-A-26	342.42	343.579	秋葉原渋谷
TP-S9-C-44	343.879	344.29	上野
TP-S9-A-27	344.084	347.144	上野原宿は一本で
TP-S9-D-32	344.3	347.41	上野原宿 で山手線で行く
TP-S9-C-45	345.87	346.98	あ そんな行けんだ
TP-S9-C-46	348.58	349.56	すごいな
TP-S9-B-38	362.354	365.574	その友人が秋葉原に興味あったら
TP-S9-B-39	366.194	367.064	行きますよね
TP-S9-C-47	366.35	367.089	あー
TP-S9-C-48	367.56	368.38	なんていうんだろう
TP-S9-B-40	368.06	371.9	なかった場合ここを通すのも危ないんじゃないのかと
