ID	start	end	transcription
GS-S10-A-0	2.212	2.431	はい
GS-S10-B-0	3.046	4.275	よろしくお願いします
GS-S10-A-1	3.796	4.69	よろしくお願いします
GS-S10-D-0	4.105	5.114	お願いします
GS-S10-C-0	4.42	5.24	お願いします
GS-S10-A-2	6.5	7.533	えー
GS-S10-A-3	8.211	8.872	と
GS-S10-A-4	9.679	11.346	みなさんこれ全員知ってます
GS-S10-B-1	12.0	13.427	いやわからない人結構いますね
GS-S10-A-5	12.41	15.06	まずそのわからない人俺も結構いるんで
GS-S10-B-2	15.142	15.377	はい
GS-S10-A-6	15.431	17.924	わかんない人とりあえず下位に集めたんですけど
GS-S10-B-3	17.96	18.424	なるほど
GS-S10-A-7	19.439	20.444	あとは 人
GS-S10-A-8	21.209	21.719	気さ
GS-S10-A-9	22.85	24.079	も考えました
GS-S10-B-4	24.48	24.692	はい
GS-S10-A-10	25.116	26.872	大学の学祭なんで
GS-S10-A-11	27.112	28.325	まあ 若い人に
GS-S10-B-5	28.489	29.519	うーん
GS-S10-A-12	28.589	29.519	人気であろう
GS-S10-A-13	29.848	30.19	人
GS-S10-A-14	31.318	31.598	今
GS-S10-A-15	31.829	35.183	人気な 人とかを上に集めたんですけど
GS-S10-B-6	35.1	35.39	はい
GS-S10-B-7	36.659	38.142	どどんな具合になってますか
GS-S10-B-8	38.444	39.111	具体的には
GS-S10-B-9	39.32	39.935	上の方は
GS-S10-A-16	39.562	42.214	具体的にはゴールデンボンバーとか
GS-S10-C-1	42.362	42.951	ああ
GS-S10-B-10	43.07	43.439	うん
GS-S10-A-17	43.109	43.96	指原
GS-S10-B-11	44.135	44.399	うん
GS-S10-A-18	44.549	45.788	ですよね 読み方 確か
GS-S10-D-1	44.703	45.181	うん
GS-S10-B-12	45.64	45.903	はい
GS-S10-A-19	46.09	48.627	あと石原さとみとか三浦春馬とか
GS-S10-A-20	49.033	51.12	まあ人気かなと思ったんですね
GS-S10-B-13	50.71	51.42	うーん
GS-S10-A-21	53.31	54.48	みなさんどうです
GS-S10-B-14	54.707	58.507	僕の観点としてはまあ大体同じ感じなんですけどそのギャラ
GS-S10-B-15	58.759	59.35	を見て
GS-S10-A-22	59.42	59.929	ああはい
GS-S10-B-16	59.898	61.583	そのあたりとの兼ね合いがどうか
GS-S10-B-17	61.838	62.885	というのを考えてみました
GS-S10-B-18	63.509	67.527	でも石川遼とかなら集客は十分認める 見込めると思うんですけど
GS-S10-B-19	67.81	69.409	ギャラが大変かなーとか
GS-S10-A-23	69.579	70.379	ああなるほど
GS-S10-B-20	70.707	71.381	そういう部分
