ID	start	end	transcription
GS-S5-B-0	4.801	4.95	はい
GS-S5-C-0	4.875	6.362	よし やっとだ
GS-S5-A-0	5.811	6.388	オッケーですか
GS-S5-B-1	6.673	7.366	んーなんとなく
GS-S5-C-1	7.221	7.354	はい
GS-S5-A-1	7.681	9.267	{LAUGH}
GS-S5-B-2	7.69	9.081	{LAUGH}
GS-S5-C-2	8.292	8.483	はい
GS-S5-C-3	9.613	9.752	はい
GS-S5-B-3	10.067	10.413	うーん
GS-S5-A-2	10.801	11.298	3分は
GS-S5-A-3	11.864	13.249	（きちんとま守って下さい）
GS-S5-B-4	13.476	14.73	はい わかりました えーと
GS-S5-B-5	15.786	16.386	とりあえず
GS-S5-B-6	16.746	17.218	あのさ
GS-S5-B-7	17.571	17.99	{LAUGH}
GS-S5-A-4	17.845	18.02	はい
GS-S5-C-4	18.222	18.349	はい
GS-S5-B-8	18.551	19.958	えーと 誰が分かった
GS-S5-B-9	19.96	20.48	{LAUGH}
GS-S5-B-10	20.937	21.524	誰を知ってる
GS-S5-A-5	22.215	23.196	えっそんな分かんないのですか
GS-S5-B-11	23.301	26.347	えーとね ごめん あの まじで知っているのが ゴールデンボンバーでしょ
GS-S5-A-6	26.705	26.915	はい
GS-S5-C-5	26.811	26.975	はい
GS-S5-D-0	27.171	27.571	あっ
GS-S5-B-12	27.336	28.752	でー 山寺宏一でしょ
GS-S5-C-6	28.884	29.0	はい
GS-S5-A-7	28.888	29.075	はい
GS-S5-B-13	29.198	29.824	くまモンでしょ
GS-S5-C-7	29.998	30.128	はい
GS-S5-A-8	30.033	30.166	はい
GS-S5-B-14	30.269	31.007	あと ローラでしょ
GS-S5-A-9	31.182	31.315	はい
GS-S5-C-8	31.224	32.42	ほぼ 似たようなもんですわー
GS-S5-B-15	32.25	32.549	んー 
GS-S5-B-16	32.735	32.986	{LAUGH}
GS-S5-B-17	33.316	34.837	で ヒノハラなんだっけ 」
GS-S5-C-9	34.816	35.396	AKB
GS-S5-B-18	35.658	36.333	だよね 元
GS-S5-B-19	37.036	37.652	もー元
GS-S5-C-10	37.158	38.332	あっ元なんですか
GS-S5-D-1	37.341	37.671	元
GS-S5-B-20	37.981	38.235	まだ
GS-S5-B-21	38.235	38.556	{LAUGH}
GS-S5-B-22	38.556	39.054	わかんない
GS-S5-B-23	39.667	39.892	{LAUGH}
GS-S5-D-2	39.677	41.75	まあなんかどっかに移籍したんじゃなかったでしたっけ
GS-S5-C-11	41.275	41.894	なんかこう
GS-S5-C-12	42.366	42.633	あっ
GS-S5-D-3	42.766	43.822	なんか スキャンダルかなんかで
GS-S5-C-13	43.009	43.256	ゴー
GS-S5-A-10	44.607	45.45	指原ですよ
GS-S5-C-14	46.25	47.288	指原なんだ
GS-S5-B-24	46.311	46.611	まあ
GS-S5-B-25	46.947	47.95	あっ指原って読むのこれ
GS-S5-A-11	48.02	48.675	{LAUGH}
GS-S5-B-26	48.386	48.865	{LAUGH}
GS-S5-C-15	48.933	49.816	指原と
GS-S5-C-16	50.238	50.522	ローラ
GS-S5-C-17	50.978	51.133	は
GS-S5-C-18	51.422	52.807	こうなんか叩かれたイメージしかない
GS-S5-B-27	53.154	53.666	うん それね
