ID	start	end	transcription
GS-S9-B-0	1.973	2.964	すみません 初めにいいですか
GS-S9-A-0	3.384	3.884	はい
GS-S9-D-0	4.094	4.534	はい
GS-S9-B-1	5.254	6.294	これなんで あのー
GS-S9-B-2	6.554	9.084	学校と関係ない人を呼ぶんでしょうか
GS-S9-C-0	10.553	11.653	うーん
GS-S9-B-3	12.403	12.934	あのー
GS-S9-B-4	13.823	15.104	私個人としては
GS-S9-B-5	16.604	17.224	あのせん
GS-S9-B-6	17.424	18.724	この中の選択肢だと
GS-S9-B-7	19.203	20.433	石田衣良さん以外
GS-S9-B-8	22.363	22.974	呼ぶ
GS-S9-B-9	25.913	26.744	呼ぶのは
GS-S9-B-10	27.104	28.194	おかしいんじゃないかと
GS-S9-C-1	29.293	31.264	でも 学生主体ですから
GS-S9-B-11	29.854	31.034	あのー
GS-S9-B-12	31.363	31.654	はい
GS-S9-B-13	32.393	32.594	いや
GS-S9-B-14	33.663	34.054	はい
GS-S9-B-15	34.344	35.693	学生主体
GS-S9-B-16	36.294	36.774	ですけど
GS-S9-B-17	37.943	38.223	これ
GS-S9-B-18	38.693	41.314	あの これが 学園祭なので
GS-S9-B-19	42.674	43.804	{咳}学生
GS-S9-B-20	44.083	44.954	以外も来る
GS-S9-B-21	45.284	45.594	ですよ
GS-S9-C-2	45.373	46.333	うーん
GS-S9-B-22	47.183	47.573	これで
GS-S9-B-23	49.244	49.714	あのー
GS-S9-B-24	51.244	53.704	学生以外も来るということは
GS-S9-B-25	53.929	54.129	これ
GS-S9-B-26	55.135	55.464	が
GS-S9-B-27	55.664	56.013	こう
GS-S9-B-28	56.234	58.328	全体としてのお祭りなわけでして
GS-S9-C-3	58.333	59.064	うーん
GS-S9-B-29	59.263	59.623	これ
GS-S9-B-30	60.073	60.293	で
GS-S9-B-31	60.704	62.104	が この中で が
GS-S9-B-32	62.333	62.863	こうに
GS-S9-B-33	63.527	63.954	この
GS-S9-B-34	64.783	66.373	成蹊大学に関係ある
GS-S9-B-35	66.793	68.824	のが この石田衣良さんだけなんですよ
GS-S9-C-4	68.874	69.533	うーん
GS-S9-B-36	69.754	72.604	あのー 以前安倍さん呼んだときとか
GS-S9-C-5	74.494	75.373	安倍さん
GS-S9-B-37	74.763	75.573	ありましたよね
GS-S9-C-6	76.288	76.628	うん
